SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
553,acc:stack-overflow,"CPH50, CPF50, CT4000, CT4K",Critical,Stack overflow in ACC firmware.,Power cycle. Replace ACC if persists.,,
554,acc:relay-stuck-closed,"CPH50, CPF50, CT4000, CT4K",Critical,Relay stuck closed. Safety issue.,Power cycle. Replace ACC if persists.,,
555,acc:uart-comms-error,"CPH50, CPF50, CT4000, CT4K",Major,UART serial communication error.,Check cable connections. Power cycle. Replace ACC if persists.,,
556,acc:hard-ground-fault-error,"CPH50, CPF50, CT4000, CT4K",Critical,Hard ground fault detection circuit failed.,Power cycle. Replace ACC board.,,
557,acc:gfci-coil-error,"CPH50, CPF50, CT4000, CT4K",Critical,GFCI sensing coil failed.,Replace ACC board.,,
558,acc:current-coil-error,"CPH50, CPF50, CT4000, CT4K",Critical,Current sensing coil error.,Replace ACC board.,,
559,acc:voltage-fluctuation-error,"CPH50, CPF50, CT4000, CT4K",Major,Voltage fluctuations on AC input.,Check site power quality. Replace ACC if site power is OK.,,
560,acc:voltage-error,"CPH50, CPF50, CT4000, CT4K",Major,AC voltage out of acceptable range.,Check incoming voltage. Verify breaker and wiring.,,
561,acc:pilot-voltage-error,"CPH50, CPF50, CT4000, CT4K",Major,J1772 pilot signal voltage incorrect.,Check pilot circuit wiring. Test with another vehicle. Replace ACC if persists.,,
562,acc:statemachine-timeout-error,"CPH50, CPF50, CT4000, CT4K",Major,Charging state machine timed out.,"Power cycle. If recurring, escalate to engineering.",,
563,acc:selftest-timeout-error,"CPH50, CPF50, CT4000, CT4K",Major,ACC self-test didn't complete in time.,Retry self-test. Power cycle. Replace ACC if persists.,,
564,acc:frequency-error,"CPH50, CPF50, CT4000, CT4K",Major,AC input frequency out of range.,Check site power. Verify generator frequency if on backup power.,,
565,acc:gmerr-test-error,"CPH50, CPF50, CT4000, CT4K",Critical,Ground monitor error test failure. Often seen with zero energy dispense.,Resend configurations. Reboot. Replace ACC if persists.,,
566,acc:cpu-register-error,"CPH50, CPF50, CT4000, CT4K",Critical,CPU internal registers failed check.,Power cycle. Replace ACC board.,,
567,acc:program-counter-error,"CPH50, CPF50, CT4000, CT4K",Critical,CPU instruction pointer corrupted.,Power cycle. Replace ACC board.,,
568,acc:ram-error,"CPH50, CPF50, CT4000, CT4K",Critical,RAM error — working memory corrupted.,Power cycle. Replace ACC board.,,
569,acc:flash-error,"CPH50, CPF50, CT4000, CT4K",Critical,Flash memory error — firmware storage corrupted.,Power cycle. Update firmware. Replace ACC if persists.,,
570,acc:cpu-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,CPU temp above warning but below critical.,Monitor. Check ventilation. Usually self-clearing.,,
571,acc:inputcable-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,Input cable temp elevated but not critical.,Monitor. Ensure proper torque on terminals.,,
572,acc:outputcable-overtemp-warning,"CPH50, CPF50, CT4000, CT4K",Minor,Output cable temp elevated but not critical.,Monitor. Check cable for damage.,,
573,acc:cpu-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,CPU exceeded critical temperature. Charging stops.,Check ventilation. Power cycle. Replace ACC if persists.,,
574,acc:inputcable-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,Input cable exceeded critical temp. Potential fire risk.,Immediately check cable and connections. Inspect for loose terminals.,,
575,acc:outputcable-over-temp,"CPH50, CPF50, CT4000, CT4K",Critical,Output cable exceeded critical temp.,Check cable for damage. Check connector. Reduce charging current if possible.,,
576,acpm:comms-error,"CPE250, CPE280",Critical,AC Power Meter lost CAN communication.,Check CAN cabling to ACPM. Power cycle. Replace ACPM if persists.,,
577,acpm:firmware-update-error,"CPE250, CPE280",Major,ACPM firmware update failed.,Retry firmware update. Power cycle. Escalate if persists.,,
578,auxps:comms-error,"CPE250, CPE280",Critical,AuxPS lost CAN communication with DCC.,Check CAN cabling. Power cycle. Replace AuxPS if persists.,,
579,auxps:firmware-update-error,"CPE250, CPE280",Major,AuxPS firmware update failed.,Retry update. Power cycle. Escalate if persists.,,
580,auxps:fan1-speed-mismatch,"CPE250, CPE280",Minor,Fan 1 RPM doesn't match expected speed.,Check fan for obstructions. Replace fan if persists.,,
581,auxps:board-overtemp-warning,"CPE250, CPE280",Minor,Board temp above warning but below critical.,Monitor. Check ventilation and ambient temp.,,
582,auxps:board-overtemp-fault,"CPE250, CPE280",Major,Board temp reached critical level.,Check cooling system. Power cycle. Replace AuxPS if persists.,,
583,auxps:main-output-48v-undervoltage-warning,"CPE250, CPE280",Minor,Main 48V output below expected but still operational.,Monitor. May indicate degrading AuxPS.,,
584,auxps:main-output-48v-overvoltage-warning,"CPE250, CPE280",Minor,Main 48V output above expected.,Monitor. Replace AuxPS if voltage stays high.,,
585,auxps:ext-output-48v-undervoltage-warning,"CPE250, CPE280",Minor,External 48V rail below expected.,Monitor. Check load on external rail.,,
586,auxps:ext-output-48v-overvoltage-warning,"CPE250, CPE280",Minor,External 48V rail above expected.,Monitor. Replace AuxPS if persists.,,
587,auxps:main-output-overcurrent-warning,"CPE250, CPE280",Minor,Main output drawing more current than expected.,Check connected components. Monitor.,,
588,auxps:ext-output-overcurrent-shutdown,"CPE250, CPE280",Major,External output overcurrent caused shutdown.,Check what's connected to ext output. Power cycle. Replace AuxPS if persists.,,
589,auxps:ac-input-loss,"CPE250, CPE280",Critical,Lost AC input power — main AC feed interrupted.,Check breakers. Verify AC supply to station.,,
590,auxps:dc-input-loss,"CPE250, CPE280",Critical,Lost DC input — DC bus feeding AuxPS is down.,Check DC connections. Power cycle.,,
591,auxps:dc-input-undervoltage-warning,"CPE250, CPE280",Minor,DC input low but still operational.,Monitor. Check power source.,,
592,auxps:dc-input-overvoltage-warning,"CPE250, CPE280",Minor,DC input above expected range.,Monitor. Check power source.,,
593,auxps:ac-input-undervoltage-warning,"CPE250, CPE280",Minor,AC input low — site may have voltage drop.,Check AC supply voltage. Verify site wiring.,,
594,auxps:ac-input-overvoltage-warning,"CPE250, CPE280",Minor,AC input above expected — site voltage too high.,Check AC supply. May need utility investigation.,,
595,auxps:ntc-pcbtemp-0-open,"CPE250, CPE280",Minor,NTC sensor 0 open/disconnected.,Check sensor connection. Replace AuxPS if failed.,,
596,auxps:ntc-pcbtemp-1-open,"CPE250, CPE280",Minor,NTC sensor 1 open/disconnected.,Check sensor connection. Replace AuxPS if needed.,,
597,auxps:ntc-pcbtemp-2-open,"CPE250, CPE280",Minor,NTC sensor 2 open/disconnected.,Check sensor connection. Replace AuxPS if needed.,,
598,auxps:ntc-pcbtemp-0-shorted,"CPE250, CPE280",Minor,NTC sensor 0 shorted — false high-temp readings.,Replace AuxPS.,,
599,auxps:ntc-pcbtemp-1-shorted,"CPE250, CPE280",Minor,NTC sensor 1 shorted.,Replace AuxPS.,,
600,auxps:ntc-pcbtemp-2-shorted,"CPE250, CPE280",Minor,NTC sensor 2 shorted.,Replace AuxPS.,,
601,auxps:ntc-pcbtemp-0-mismatch,"CPE250, CPE280",Minor,NTC sensor 0 reading inconsistent.,Monitor. Replace AuxPS if readings unreliable.,,
602,fdc:thermal-switch-open,"CPE250, CPE280, EXPP",Critical,Thermal switch 1 has opened — overheating detected in the FDC. Power delivery may be interrupted.,Inspect FDC for heat source. Check ventilation. Replace thermal switch if failed.,,
603,fdc:thermal-switch-open-2,"CPE250, CPE280, EXPP",Critical,Thermal switch 2 has opened — overheating in a second zone of the FDC.,Inspect FDC. Check ventilation. Replace thermal switch if failed.,,
604,fdc:disconnect-activated,"CPE250, CPE280, EXPP",Critical,FDC disconnect switch has been activated. Power to the station is intentionally cut — someone pulled the disconnect.,Check if disconnect was pulled intentionally. Reset disconnect. Verify station resumes.,,
605,fdc:rtd-shorted-bottom,"CPE250, CPE280, EXPP",Minor,Bottom RTD temperature sensor is shorted — giving false readings.,Replace sensor or FDC board.,,
606,fdc:rtd-open-bottom,"CPE250, CPE280, EXPP",Minor,Bottom RTD sensor is open/disconnected.,Check sensor wiring. Reconnect or replace.,,
607,fdc:rtd-shorted-mds,"CPE250, CPE280, EXPP",Minor,MDS (Module Distribution System) RTD sensor shorted.,Replace sensor or FDC board.,,
608,fdc:rtd-open-mds,"CPE250, CPE280, EXPP",Minor,MDS RTD sensor open/disconnected.,Check sensor wiring.,,
609,fdc:rtd-shorted-top,"CPE250, CPE280, EXPP",Minor,Top RTD sensor shorted — false readings.,Replace sensor or FDC board.,,
610,fdc:rtd-open-top,"CPE250, CPE280, EXPP",Minor,Top RTD sensor open/disconnected.,Check sensor wiring.,,
611,fdc:can-comms-error,"CPE250, CPE280, EXPP",Critical,FDC lost CAN bus communication with station controller. FDC status is unknown.,Check CAN cabling to FDC. Power cycle. Replace FDC board if persists.,,
612,fdc:vicor-overtemp-warning,"CPE250, CPE280, EXPP",Minor,Vicor DC-DC converter in FDC is above warning temp. Converter module is running hot.,Monitor. Check ventilation.,,
613,fdc:vicor-overtemp-shutdown,"CPE250, CPE280, EXPP",Critical,Vicor DC-DC converter exceeded critical temp — shut down. Internal power conversion lost.,Check ventilation. Power cycle. Replace Vicor module if persists.,,
614,fdc:top-rtd-overtemp-warning,"CPE250, CPE280, EXPP",Minor,Top section of FDC above warning temp.,Monitor. Check ventilation.,,
615,fdc:top-rtd-overtemp-shutdown,"CPE250, CPE280, EXPP",Critical,Top section exceeded critical temp — FDC shut down that zone.,Check ventilation. Inspect for heat source. Power cycle.,,
616,fdc:top-rtd-undertemp-warning,"CPE250, CPE280, EXPP",Minor,Top section of FDC below warning temp — too cold. Heater may have failed in cold climate.,Check heater. May need cold-climate kit.,,
617,fdc:mds-rtd-overtemp-warning,"CPE250, CPE280, EXPP",Minor,MDS zone above warning temp.,Monitor. Check ventilation and airflow around MDS.,,
618,fdc:mds-rtd-overtemp-shutdown,"CPE250, CPE280, EXPP",Critical,MDS zone exceeded critical temp — shut down.,Inspect MDS area. Check fans and ventilation. Power cycle.,,
619,fdc:bottom-rtd-overtemp-warning,"CPE250, CPE280, EXPP",Minor,Bottom section above warning temp.,Monitor. Check ventilation.,,
620,fdc:bottom-rtd-overtemp-shutdown,"CPE250, CPE280, EXPP",Critical,Bottom section exceeded critical temp — shut down.,Check ventilation and heat sources. Power cycle.,,
621,fdc:board-overtemp-warning,"CPE250, CPE280, EXPP",Minor,FDC board temp above warning.,Monitor. Check ventilation.,,
622,fdc:board-overtemp-shutdown,"CPE250, CPE280, EXPP",Critical,FDC board exceeded critical temp — shut down.,Check cooling. Power cycle. Replace FDC board if persists.,,
623,fdc:firmware-failure,"CPE250, CPE280, EXPP",Critical,FDC firmware has failed — board not executing code properly.,Power cycle. Update firmware. Replace FDC board if persists.,,
624,fdc:mixing-fan-overcurrent,"CPE250, CPE280, EXPP",Major,Mixing fan drawing overcurrent — motor may be failing or obstructed.,Check for obstructions. Replace mixing fan.,,
625,fdc:mixing-fan-open-circuit,"CPE250, CPE280, EXPP",Major,Mixing fan has open circuit — not powered. Wiring disconnected or motor coil broken.,Check fan wiring. Replace mixing fan.,,
626,fdc:mds-fan-overcurrent,"CPE250, CPE280, EXPP",Major,MDS fan drawing overcurrent.,Check for obstructions. Replace MDS fan.,,
627,fdc:mds-fan-open-circuit,"CPE250, CPE280, EXPP",Major,MDS fan has open circuit.,Check wiring. Replace MDS fan.,,
628,fdc:externalhs-fan-overcurrent,"CPE250, CPE280, EXPP",Major,External heatsink fan overcurrent.,Check for obstructions. Replace fan.,,
629,fdc:externalhs-fan-open-circuit,"CPE250, CPE280, EXPP",Major,External heatsink fan open circuit — not powered.,Check wiring. Replace fan.,,
630,fdc:primary-proton-fan-overcurrent,"CPE250, CPE280, EXPP",Major,Primary Proton (power module) fan overcurrent.,Check for obstructions. Replace fan.,,
631,fdc:primary-proton-fan-open-circuit,"CPE250, CPE280, EXPP",Major,Primary Proton fan open circuit.,Check wiring. Replace fan.,,
632,fdc:optional-proton-fan-overcurrent,"CPE250, CPE280, EXPP",Major,Optional/secondary Proton fan overcurrent.,Check for obstructions. Replace fan.,,
633,fdc:optional-proton-fan-open-circuit,"CPE250, CPE280, EXPP",Major,Optional Proton fan open circuit.,Check wiring. Replace fan.,,
634,fdc:stirring-fan-overcurrent,"CPE250, CPE280, EXPP",Major,Stirring fan (air circulation) overcurrent.,Check for obstructions. Replace fan.,,
635,fdc:stirring-fan-open-circuit,"CPE250, CPE280, EXPP",Major,Stirring fan open circuit.,Check wiring. Replace fan.,,
636,fdc:sslan-load-switch,"CPE250, CPE280, EXPP",Major,SSLAN (Safety System LAN) load switch fault. Power to safety network communication has failed.,Power cycle. Check FDC board. Replace if persists.,,
637,fdc:proton-load-switch,"CPE250, CPE280, EXPP",Major,Proton (power module) load switch fault. Power delivery to Proton module interrupted.,Power cycle. Check FDC board. Replace if persists.,,
638,fdc:holster-load-switch,"CPE250, CPE280, EXPP",Major,Holster load switch fault. Power to cable holster heater/sensor has failed.,Power cycle. Check FDC board. Replace if persists.,,
639,fdc:ccb-load-switch,"CPE250, CPE280, EXPP",Major,CCB (Cooling Control Board) load switch fault. Power to cooling controller interrupted.,Power cycle. Check FDC board. Replace if persists.,,
